買	企業名	最大何倍株	現在何倍株	コード	ビジネスモデル	参入障壁あるか	参入障壁の詳細	社長株%	想定時価総額（億円）	時価総額_上場1年以内（億円）	ノーバガー指標	5,7,10,N倍まで何年	Sector	Industry	上場廃止	PER	IPO情報URL	IR	有価証券報告書	会社URL	事業内容	備考	テンバガー指標	決算	決算伸び率%	会社設立	管理人からのコメント	上場日	市場	株主名と比率	企業業績のデータ（5年分）														
	エコム			6225				30.63	17.4	None					廃止		https://www.ipokiso.com/company/2023/ecom-jp.html	https://irbank.net/6225/ir		https://ecom-jp.co.jp/	工業炉の開発・設計・製造および保守点検					1985年8月（38年目）	エコム（6225）、社名のエコムは「エコロジー（環境）」と「コンバッション（燃焼）」を合わせた造語です。2050年までにCO2排出量を実質ゼロにする「カーボンニュートラル」の目標達成に向けて、工業炉の省エネルギー化に取り組んでいます。	3月31日(金)	名証メイン	[{"株主名": "髙梨    智志（社長）", "比率": 30.63, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "髙梨 今日子", "比率": 23.97, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "東京中小企業投資育成（株）", "比率": 16.92, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "エコム社員持株会", "比率": 10.21, "ロックアップ": "", "isCEO": false}, {"株主名": "（株）ノリタケカンパニーリミテド", "比率": 5.75, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "しんきん-やらまいか投資事業有限責任組合", "比率": 5.19, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "関西電力（株）", "比率": 3.44, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "鈴木 祥吾", "比率": 1.3, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "瀧本 典昭", "比率": 1.13, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "幡野 雄一", "比率": 0.73, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年7月": 2510.0, "2020年7月": 1597.0, "2021年7月": 1759.0, "2022年7月": 1501.0}}, {"経常利益（百万円）": {"2019年7月": 402.0, "2020年7月": 161.0, "2021年7月": 136.0, "2022年7月": 106.0}}, {"当期純利益（百万円）": {"2019年7月": 280.0, "2020年7月": 141.0, "2021年7月": 149.0, "2022年7月": 101.0}}, {"純資産額 （百万円）": {"2019年7月": 2587.0, "2020年7月": 2574.0, "2021年7月": 2504.0, "2022年7月": 2571.0}}, {"1株あたりの純資産額（円）": {"2019年7月": 1276123.0, "2020年7月": 1337843.0, "2021年7月": 2841.0, "2022年7月": 2950.0}}, {"1株あたりの純利益（円）": {"2019年7月": 137980.0, "2020年7月": 72734.0, "2021年7月": 163.0, "2022年7月": 115.0}}, {"自己資本比率（％）": {"2019年7月": 72.7, "2020年7月": 72.3, "2021年7月": 79.2, "2022年7月": 63.3}}, {"自己資本利益率（％）": {"2019年7月": 11.4, "2020年7月": 5.5, "2021年7月": 5.9, "2022年7月": 4.0}}]														
	Fusic			5256				31.48	22	43			技術	ソフトウェア - アプリケーション			https://www.ipokiso.com/company/2023/fusic.html	https://irbank.net/5256/ir		https://fusic.co.jp/	クラウド環境を活用したシステム開発、IoT・クラウド・AIを組み合わせてデータ活用を支援するDX（デジタルトランスフォーメーション）事業					2003年10月（20年目）	Fusic[フュージック]（5256）、主にクラウドサービスのプラットフォームであるAWS（Amazon Web Services）が提供するサービスとソフトウェア開発の最も効率的な解決策を提供しています。直近の業績推移を見ると、2022年6月期に事業規模が急拡大しており、2023年6月期も引き続き拡大しています。	3月31日(金)	東証グロース、福証Qボード	[{"株主名": "納富 貞嘉（社長）", "比率": 31.48, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "濱﨑 陽一郎", "比率": 31.48, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "NSMC（株）", "比率": 13.16, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "HSMC（株）", "比率": 13.16, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）フィックスターズ", "比率": 1.88, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "新田 寛之", "比率": 1.41, "ロックアップ": "", "isCEO": false}, {"株主名": "江上 喜朗", "比率": 1.41, "ロックアップ": "", "isCEO": false}, {"株主名": "小田 晃司", "比率": 0.47, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "櫻川 幸三", "比率": 0.34, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "杉本 慎太郎", "比率": 0.32, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年7月": 673.0, "2020年6月": 631.0, "2021年6月": 762.0, "2022年6月": 1124.0}}, {"経常利益（百万円）": {"2019年7月": 13.0, "2020年6月": 33.0, "2021年6月": -43.0, "2022年6月": 71.0}}, {"当期純利益（百万円）": {"2019年7月": 77.0, "2020年6月": 13.0, "2021年6月": -26.0, "2022年6月": 44.0}}, {"純資産額 （百万円）": {"2019年7月": 214.0, "2020年6月": 228.0, "2021年6月": 202.0, "2022年6月": 247.0}}, {"1株あたりの純資産額（円）": {"2019年7月": 1071871.0, "2020年6月": 1138390.0, "2021年6月": 202.0, "2022年6月": 246.0}}, {"1株あたりの純利益（円）": {"2019年7月": 386074.0, "2020年6月": 66520.0, "2021年6月": -26.0, "2022年6月": 44.0}}, {"自己資本比率（％）": {"2019年7月": 36.2, "2020年6月": 40.9, "2021年6月": 27.5, "2022年6月": 36.3}}, {"自己資本利益率（％）": {"2019年7月": 43.9, "2020年6月": 6.0, "2021年6月": -12.1, "2022年6月": 19.7}}]														
	ココルポート			9346					107.1	67.4			産業	人材派遣・雇用サービス			https://www.ipokiso.com/company/2023/cocorport.html	https://irbank.net/9346/ir		https://www.cocorport.co.jp/	障害者総合支援法に基づく障がい福祉サービス事業					2012年1月（12年目）	ココルポート（9346）、障害のある方に対して、就労移行や就労定着、指定計画相談の各種支援サービス、他に自立訓練（生活訓練）サービスを提供しています。直近の業績推移を見ると、業績は右肩上がりで拡大しており、今後の成長性も期待できます。ただし、収益の一部が行政から支払われていることもあり、条件付きではあります。	3月31日(金)	東証グロース	[{"株主名": "（株）A&Cコーポレーション", "比率": 23.54, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）KRAC", "比率": 8.66, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐原 敦矢（社長）", "比率": 7.74, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "（株）アレジアンス", "比率": 6.93, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "ココルポート社員持株会", "比率": 6.6, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "長尾 吉祐", "比率": 5.31, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "伊藤 純一", "比率": 4.25, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "岡登 貞憲", "比率": 2.55, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "西村 綾子", "比率": 2.55, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "石合 建祐", "比率": 2.55, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年6月": 1680.0, "2020年6月": 2435.0, "2021年6月": 3325.0, "2022年6月": 4176.0}}, {"経常利益（百万円）": {"2019年6月": -56.0, "2020年6月": 118.0, "2021年6月": 274.0, "2022年6月": 373.0}}, {"当期純利益（百万円）": {"2019年6月": -29.0, "2020年6月": 78.0, "2021年6月": 200.0, "2022年6月": 259.0}}, {"純資産額 （百万円）": {"2019年6月": 74.0, "2020年6月": 152.0, "2021年6月": 352.0, "2022年6月": 611.0}}, {"1株あたりの純資産額（円）": {"2019年6月": 23.0, "2020年6月": 47.0, "2021年6月": 110.0, "2022年6月": 191.0}}, {"1株あたりの純利益（円）": {"2019年6月": -10.0, "2020年6月": 24.0, "2021年6月": 63.0, "2022年6月": 81.0}}, {"自己資本比率（％）": {"2019年6月": 10.4, "2020年6月": 18.3, "2021年6月": 30.4, "2022年6月": 42.6}}, {"自己資本利益率（％）": {"2019年6月": null, "2020年6月": 68.9, "2021年6月": 79.4, "2022年6月": 53.7}}]														
	ノバシステム			5257				55.09	22.4	29.2			技術	ソフトウェア - アプリケーション			https://www.ipokiso.com/company/2023/nova-system.html	https://irbank.net/5257/ir		https://www.nova-system.com/	金融・保険業界向けを中心としたシステムインテグレーション事業、クラウドサービスの提供					1982年9月（41年目）	ノバシステム（5257）、事業全体の97.9％をシステムインテグレーション事業が占めています。システムインテグレーション事業では、生命保険会社、損害保険会社、銀行、信託銀行などの金融業界向けの情報処理システムの開発をおこなっています。	3月30日(木)	東証スタンダード	[{"株主名": "芳山    政安（社長）", "比率": 55.09, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "ノバシステム従業員持株会", "比率": 9.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "内原 昌彦", "比率": 3.94, "ロックアップ": "", "isCEO": false}, {"株主名": "河 鳳基", "比率": 3.28, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）インテック", "比率": 3.28, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "川上 秀樹", "比率": 2.46, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "林 潤", "比率": 1.97, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "平山 貞美", "比率": 1.64, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "成田 由奈", "比率": 1.64, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "西山 仁徳", "比率": 1.64, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2018年12月": 3986.0, "2019年12月": 4126.0, "2020年12月": 4076.0, "2021年12月": 4173.0}}, {"経常利益（百万円）": {"2018年12月": 125.0, "2019年12月": 308.0, "2020年12月": 213.0, "2021年12月": 112.0}}, {"当期純利益（百万円）": {"2018年12月": 27.0, "2019年12月": 160.0, "2020年12月": 138.0, "2021年12月": 72.0}}, {"純資産額 （百万円）": {"2018年12月": 447.0, "2019年12月": 652.0, "2020年12月": 788.0, "2021年12月": 945.0}}, {"1株あたりの純資産額（円）": {"2018年12月": 7454.0, "2019年12月": 10868.0, "2020年12月": 656.0, "2021年12月": 787.0}}, {"1株あたりの純利益（円）": {"2018年12月": 453.0, "2019年12月": 2673.0, "2020年12月": 115.0, "2021年12月": 60.0}}, {"自己資本比率（％）": {"2018年12月": 18.1, "2019年12月": 24.1, "2020年12月": 28.5, "2021年12月": 36.6}}, {"自己資本利益率（％）": {"2018年12月": 6.3, "2019年12月": 29.2, "2020年12月": 19.1, "2021年12月": 8.3}}]														
	ビズメイツ			9345				19.4	49	19.5			消費者防衛	教育・訓練サービス			https://www.ipokiso.com/company/2023/bizmates.html	https://irbank.net/9345/ir		https://www.bizmates.co.jp/	オンラインビジネス英会話『Bizmates』などを提供するランゲージソリューション事業および外国人ITエンジニアにフォーカスした人材紹介サービスなどをおこなうタレントソリューション事業					2012年7月（11年目）	ビズメイツ（9345）、オンラインでビジネス英語および日本語レッスンなどの提供をおこなう「ランゲージソリューション事業」、グローバルITエンジニアの人材紹介サービスなどをおこなう「タレントソリューション事業」を展開しています。	3月30日(木)	東証グロース	[{"株主名": "（株）SUZ", "比率": 51.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "鈴木 伸明（社長）", "比率": 19.4, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "日加（株）", "比率": 10.33, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "Anna Maria    Francisco", "比率": 7.23, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "伊藤 日加", "比率": 5.16, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "木村 健", "比率": 2.07, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "ビズメイツ社員持株会", "比率": 0.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "小山 竜男", "比率": 0.52, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "後田 晃宏", "比率": 0.41, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "籭 健太", "比率": 0.31, "ロックアップ": "", "isCEO": false}]	[{"売上高（百万円）": {"2018年12月": 1167.0, "2019年12月": 1486.0, "2020年12月": 1905.0, "2021年12月": 2452.0}}, {"経常利益（百万円）": {"2018年12月": 44.0, "2019年12月": 88.0, "2020年12月": 135.0, "2021年12月": 262.0}}, {"当期純利益（百万円）": {"2018年12月": 30.0, "2019年12月": 61.0, "2020年12月": 95.0, "2021年12月": 185.0}}, {"純資産額 （百万円）": {"2018年12月": 62.0, "2019年12月": 123.0, "2020年12月": 278.0, "2021年12月": 468.0}}, {"1株あたりの純資産額（円）": {"2018年12月": 134284.0, "2019年12月": 891.0, "2020年12月": 201.0, "2021年12月": 338.0}}, {"1株あたりの純利益（円）": {"2018年12月": 65327.0, "2019年12月": 444.0, "2020年12月": 69.0, "2021年12月": 134.0}}, {"自己資本比率（％）": {"2018年12月": 16.1, "2019年12月": 21.2, "2020年12月": 33.8, "2021年12月": 39.2}}, {"自己資本利益率（％）": {"2018年12月": 64.3, "2019年12月": 66.3, "2020年12月": 41.3, "2021年12月": 49.6}}]														
	住信SBIネット銀行			7163					1900	1786.9			金融サービス	銀行 - 地域			https://www.ipokiso.com/company/2023/netbk.html	https://irbank.net/7163/ir		https://www.netbk.co.jp/contents/	インターネット専業銀行					1986年6月（37年目）	住信SBIネット銀行（7163）、三井住友信託銀行とSBIホールディングスの共同出資による、インターネット専業銀行です。元となる会社は1986年の設立ですが、住信SBIネット銀行としての営業は2007年からスタートしました。直近の業績推移を見ると、右肩上がりで経常収益・利益ともに伸ばしています。	3月29日(水)	東証スタンダード	[{"株主名": "三井住友信託銀行（株）", "比率": 50.0, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "SBIホールディングス（株）", "比率": 50.0, "ロックアップ": "180日間", "isCEO": false}]	[{"経常収益（百万円）": {"2019年3月": 67855.0, "2020年3月": 74569.0, "2021年3月": 78754.0, "2022年3月": 83527.0}}, {"経常利益（百万円）": {"2019年3月": 17944.0, "2020年3月": 18738.0, "2021年3月": 20726.0, "2022年3月": 23265.0}}, {"当期純利益（百万円）": {"2019年3月": 12108.0, "2020年3月": 12477.0, "2021年3月": 13928.0, "2022年3月": 17113.0}}, {"純資産額 （百万円）": {"2019年3月": 106939.0, "2020年3月": 118798.0, "2021年3月": 134182.0, "2022年3月": 145392.0}}, {"1株あたりの純資産額（円）": {"2019年3月": 70918.0, "2020年3月": 78782.0, "2021年3月": 886.0, "2022年3月": 964.0}}, {"1株あたりの純利益（円）": {"2019年3月": 8030.0, "2020年3月": 8275.0, "2021年3月": 92.0, "2022年3月": 113.0}}, {"自己資本比率（％）": {"2019年3月": 1.9, "2020年3月": 1.9, "2021年3月": 1.8, "2022年3月": 1.7}}, {"自己資本利益率（％）": {"2019年3月": 12.1, "2020年3月": 11.1, "2021年3月": 11.0, "2022年3月": 12.3}}]														
	AnyMind Group			5027				37.22	552.8	353.5			技術	ソフトウェア - アプリケーション			https://www.ipokiso.com/company/2023/anymindgroup.html	https://irbank.net/5027/ir		https://anymindgroup.com/ja/	ブランド企業向けマーケティング支援、パブリッシャーおよびクリエイター向け収益化支援、D2C支援に関するプラットフォームとサービスの開発・提供					2019年12月（4年目）	AnyMind Group[エニーマインドグループ]（5027）、インターネットにてブランドを販売するためのプロセス（ブランド企画、製造、広告、販売、物流など）を一気通貫でサポートしています。直近の業績推移を見ると、赤字が続いていますが、2022年12月期には営業利益30百万円の黒字化を達成しています。	3月29日(水)	東証グロース	[{"株主名": "十河    宏輔（社長）", "比率": 37.22, "ロックアップ": "360日間", "isCEO": true}, {"株主名": "小堤 音彦", "比率": 9.54, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "（株）SMBC信託銀行(特定運用金外信託    未来創生2号ファンド)", "比率": 6.78, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "JATF VI    (Singapore) Pte. Ltd.", "比率": 6.64, "ロックアップ": "180日間\r\n  1.5倍", "isCEO": false}, {"株主名": "JAFCO Asia    Technology Fund VII Pte. Ltd.", "比率": 4.81, "ロックアップ": "180日間\r\n  1.5倍", "isCEO": false}, {"株主名": "JIC    ベンチャー・グロース・ファンド1号投資事業有限責任組合", "比率": 3.92, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "JPインベストメント1号投資事業有限責任組合", "比率": 2.86, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "日本グロースキャピタル投資法人", "比率": 2.42, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "渡邊 久憲", "比率": 1.86, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "大川 敬三", "比率": 1.71, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2018年12月": null, "2019年12月": 6503.0, "2020年12月": 11080.0, "2021年12月": 19253.0}}, {"経常利益（百万円）": {"2018年12月": null, "2019年12月": -359.0, "2020年12月": -1046.0, "2021年12月": -539.0}}, {"当期純利益（百万円）": {"2018年12月": null, "2019年12月": -349.0, "2020年12月": -1151.0, "2021年12月": -810.0}}, {"純資産額 （百万円）": {"2018年12月": null, "2019年12月": 612.0, "2020年12月": -493.0, "2021年12月": 7130.0}}, {"1株あたりの純資産額（円）": {"2018年12月": null, "2019年12月": 20.0, "2020年12月": -15.0, "2021年12月": 138.0}}, {"1株あたりの純利益（円）": {"2018年12月": null, "2019年12月": -11.0, "2020年12月": -37.0, "2021年12月": -20.0}}, {"自己資本比率（％）": {"2018年12月": null, "2019年12月": 8.8, "2020年12月": -4.3, "2021年12月": 53.2}}, {"自己資本利益率（％）": {"2018年12月": null, "2019年12月": null, "2020年12月": null, "2021年12月": null}}]														
	モンスターラボホールディングス			5255				15.64	207.7	74.1			技術	情報技術サービス			https://www.ipokiso.com/company/2023/monstar-lab.html	https://irbank.net/5255/ir		https://monstar-lab.com/	DXにかかわるデジタルコンサルティング事業およびプロダクト事業など					2006年2月（18年目）	モンスターラボホールディングス（5255）、大手企業向けデジタルコンサルティング事業、市場の共通課題に対してSaaS型プロダクト事業を展開しています。デジタルコンサルティング事業においては、新規サービスやビジネス変革、顧客体験変革といったイノベーション創出や売上向上型DXを得意分野としています。	3月28日(火)	東証グロース	[{"株主名": "JICベンチャー・グロース・ファンド1号投資事業有限責任組合", "比率": 19.37, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "鮄川 宏樹（社長）", "比率": 15.64, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "（株）DGベンチャーズ", "比率": 6.19, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "日本郵政キャピタル（株）", "比率": 4.84, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "（株）パソナ", "比率": 3.17, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "Nathanial    Trienens", "比率": 2.31, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）山陰合同銀行", "比率": 1.82, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "イーストベンチャーズ投資事業有限責任組合", "比率": 1.59, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "Calvin Rodney    Sylvinus Hart", "比率": 1.58, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "鈴木 澄人", "比率": 1.56, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2018年12月": 3568.0, "2019年12月": 2828.0, "2020年12月": 7420.0, "2021年12月": 9346.0}}, {"税引前利益（百万円）": {"2018年12月": null, "2019年12月": null, "2020年12月": -1549.0, "2021年12月": -3090.0}}, {"当期純利益（百万円）": {"2018年12月": -21.0, "2019年12月": -1501.0, "2020年12月": -1274.0, "2021年12月": -3053.0}}, {"純資産額 （百万円）": {"2018年12月": 2653.0, "2019年12月": 2913.0, "2020年12月": 3161.0, "2021年12月": 3752.0}}, {"1株あたりの純資産額（円）": {"2018年12月": 7036.0, "2019年12月": 6915.0, "2020年12月": 120.0, "2021年12月": 126.0}}, {"1株あたりの純利益（円）": {"2018年12月": -60.0, "2019年12月": -3846.0, "2020年12月": -56.0, "2021年12月": -113.0}}, {"自己資本比率（％）": {"2018年12月": 45.1, "2019年12月": 38.9, "2020年12月": 32.7, "2021年12月": 37.9}}, {"自己資本利益率（％）": {"2018年12月": -1.0, "2019年12月": -53.9, "2020年12月": -40.3, "2021年12月": -81.4}}]														
	アクシスコンサルティング			9344				41.01	76.2	49.8			産業	人材派遣・雇用サービス			https://www.ipokiso.com/company/2023/axc-g.html	https://irbank.net/9344/ir		https://axc-g.co.jp/	ハイエンド人材領域における人材紹介およびスキルシェアの複合サービスを提供するヒューマンキャピタル事業					2002年4月（21年目）	アクシスコンサルティング（9344）、コンサルタントなどの高いレベルの専門性と能力を持つハイエンド人材の紹介サービス、独立してフリーランスになったコンサルタントによる課題解決サービスを提供する「フリーコンサルBiz」を展開しています。	3月28日(火)	東証グロース	[{"株主名": "（株）創", "比率": 44.35, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "山尾 幸弘（社長）", "比率": 41.01, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "吉越 利成", "比率": 2.78, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "伊藤 文隆", "比率": 1.97, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "アクシスコンサルティング従業員持株会", "比率": 1.73, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "荒木田 誠", "比率": 1.69, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "所 芳正", "比率": 1.6, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "坂本 安東", "比率": 0.46, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "橋本 寿幸", "比率": 0.46, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "田畑 孝", "比率": 0.42, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年6月": 1285.0, "2020年6月": 1386.0, "2021年6月": 2203.0, "2022年6月": 3513.0}}, {"経常利益（百万円）": {"2019年6月": 166.0, "2020年6月": 143.0, "2021年6月": 307.0, "2022年6月": 493.0}}, {"当期純利益（百万円）": {"2019年6月": 61.0, "2020年6月": 67.0, "2021年6月": 239.0, "2022年6月": 325.0}}, {"純資産額 （百万円）": {"2019年6月": 207.0, "2020年6月": 273.0, "2021年6月": 538.0, "2022年6月": 863.0}}, {"1株あたりの純資産額（円）": {"2019年6月": 154119.0, "2020年6月": 2038.0, "2021年6月": 134.0, "2022年6月": 215.0}}, {"1株あたりの純利益（円）": {"2019年6月": 57249.0, "2020年6月": 496.0, "2021年6月": 59.0, "2022年6月": 81.0}}, {"自己資本比率（％）": {"2019年6月": 26.7, "2020年6月": 22.7, "2021年6月": 36.2, "2022年6月": 41.0}}, {"自己資本利益率（％）": {"2019年6月": 41.4, "2020年6月": 27.7, "2021年6月": 44.5, "2022年6月": 46.4}}]														
	Arent			5254				39.98	105.4	91.9			技術	ソフトウェア - アプリケーション			https://www.ipokiso.com/company/2023/arent.html	https://irbank.net/5254/ir		https://arent.co.jp/	建設DXのコンサルティング、システム開発、システム販売など					2012年7月（11年目）	Arent[アレント]（5254）、遺産的に引き継がれてきた非効率なシステムが多く採用されている建設業界およびプラントエンジニアリング大手企業に対して、コンピュータ上に3Dの建造物を構築するBIM（Building Information Modeling）、インターネットを通じて利用できるソフトウエアSaaSの開発・販売をおこなっています。	3月28日(火)	東証グロース	[{"株主名": "鴨林　広軌（社長）", "比率": 39.98, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "梅林　真如", "比率": 11.65, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "SBI4＆5投資事業有限責任組合", "比率": 7.59, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐海　文隆", "比率": 7.29, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大北　尚永", "比率": 6.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中川　高志", "比率": 6.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "丸山　篤史", "比率": 6.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "SBI4＆5投資事業有限責任組合2号", "比率": 2.01, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "合同会社J＆TC    Frontier", "比率": 1.87, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "清水　利恭", "比率": 1.53, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年6月": 249.0, "2020年6月": 762.0, "2021年6月": 722.0, "2022年6月": 1012.0}}, {"経常利益（百万円）": {"2019年6月": 126.0, "2020年6月": 376.0, "2021年6月": 45.0, "2022年6月": 15.0}}, {"当期純利益（百万円）": {"2019年6月": 79.0, "2020年6月": 251.0, "2021年6月": -20.0, "2022年6月": -48.0}}, {"純資産額 （百万円）": {"2019年6月": 128.0, "2020年6月": 383.0, "2021年6月": 842.0, "2022年6月": 1991.0}}, {"1株あたりの純資産額（円）": {"2019年6月": 1162.0, "2020年6月": 3446.0, "2021年6月": 97.0, "2022年6月": 75.0}}, {"1株あたりの純利益（円）": {"2019年6月": 1200.0, "2020年6月": 2281.0, "2021年6月": -4.0, "2022年6月": -9.0}}, {"自己資本比率（％）": {"2019年6月": 58.4, "2020年6月": 34.0, "2021年6月": 38.1, "2022年6月": 64.7}}, {"自己資本利益率（％）": {"2019年6月": 109.8, "2020年6月": 98.9, "2021年6月": null, "2022年6月": null}}]														
